%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 4 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.00 -1.40 98.44 0.00 0.00 -999.00 279.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 4 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 94.00 -0.80 98.42 0.00 0.00 -999.00 282.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 4 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 94.00 -0.70 98.43 0.00 0.00 -999.00 282.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 4 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 94.00 -0.50 98.45 0.00 0.00 -999.00 283.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 4 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 93.00 -0.80 98.49 0.00 0.00 -999.00 282.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 4 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 93.00 -0.40 98.53 0.00 0.00 -999.00 276.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 4 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.00 -0.30 98.55 0.00 79.00 -999.00 284.00 -999.00 -999.00 -999.00 -999.00 57.00 137.00 70.00
1985 4 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 91.00 0.10 98.51 0.00 127.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 101.00 115.00 90.00
1985 4 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 88.00 0.90 98.41 0.00 162.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 124.00 138.00 0.00
1985 4 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 86.00 1.10 98.37 0.00 152.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 125.00 98.00 0.00
1985 4 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 86.00 1.10 98.34 0.00 133.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 109.00 97.00 0.00
1985 4 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 87.00 1.10 98.34 0.00 99.00 -999.00 291.00 -999.00 -999.00 -999.00 -999.00 72.00 152.00 0.00
1985 4 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 89.00 0.90 98.27 0.00 22.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 22.00 0.00 0.00
1985 4 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 91.00 0.40 98.26 0.00 0.00 -999.00 288.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 4 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 89.00 0.20 98.24 0.00 0.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 4 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 88.00 0.10 98.24 0.00 0.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 4 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 92.00 -0.40 98.22 0.00 0.00 -999.00 284.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 4 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 91.00 -0.30 98.21 0.00 0.00 -999.00 284.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 4 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00000 92.00 -0.20 98.16 0.00 0.00 -999.00 285.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 4 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.00 -0.30 98.15 0.00 0.00 -999.00 284.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 5 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 92.00 -0.10 98.17 0.00 0.00 -999.00 285.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 5 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 91.00 0.10 98.17 0.00 0.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
